token_hi,token_en
काइट,kite
अंतराष्ट्रिय,international
तपस्थली,meditation site
मिसरा,line
चुनावो,elections
लक्ष्मणगढ़,Laxmangarh
संग्रहाध्यक्ष,curator
हिस्स,part
शापुर,Shapur
पेट्री,Petri
शीर्षकों,headings
वोयस,voice
हस्ताक्षर,signature
टॉपर,topper
अर्धनारीश्वर,Ardhanarishwar
मनोहारी,charming
पढ़ा,read
बोराइड,boride
मोतीचूर,Motichoor
महोली,Maholi
एलिमेंट,element
गौडा,Gowda
मोनोलॉग,monologue
सुसाध्य,achievable
लिपारी,Lipari
जाँघ,thigh
मुदुमलाई,Mudumalai
गुरूडा,Guruda
नजारों,sceneries
पोस्टमॉडर्न,postmodern
राजभत्ता,Rajbhatta
युद्द,war
स्लाइडर,slider
गेरुआ,ochre
वन,forest
ऐप्लिकेशन,application
आईसीसीआर,ICCR
आँदोलन,movement
३६३,363
दक्षिणा,offering
जमशेदपुर,Jamshedpur
विश्वविध्यलय,university
परिवहनों,transports
पाथिक,traveler
रहीं,were
सञ्जय,Sanjay
कार्यप्रणालियां,processes
अतर्कसंगत,illogical
उपसना,worship
पठित,read
स्क्वैश,squash
खम,curve
सराही,appreciated
बनाये,create
मध्यबिंदु,midpoint
भरन,filling
पर्माफ़्रोस्ट,permafrost
बर्कहार्ट,Burkhardt
विधाई,legislative
फिशबर्न,Fishburn
दिगंबर,Digambar
विवरणात्मक,descriptive
महाण,great
बुजुर्गो,elders
एलटीसी,LTC
खांडव,Khandav
युसुफजई,Yusufzai
कम्‍पनियां,companies
आधार,base
सीसीपी,CCP
जयवर्मन्,Jayavarman
जेंग,Jeng
कैरम,carrom
खड़कवासला,Khadakwasla
गोंगोरा,Gongora
होले,Hole
नाभियों,navels
दंडादेश,sentence
महासर्वेक्षक,Surveyor General
रतनकुमार,Ratan Kumar
सब्स,subs
अध्यंकन,review
२९८,298
गोभिल,Gobil
प्वायंट,point
मस्ट,must
दुष्टात्माओं,evil spirits
हिस्टोरिक,historic
एनकॉर,encore
पूर्वाभासी,premonition
प्रकृतिस्थ,natural
अभिघात,shock
करवीर,Karveer
हेमकुण्ड,Hemkund
विषैलापन,toxicity
सिद्धम,Siddham
रोगनिवारण,remedy
बिखेर,scatter
जोधाबाई,Jodhabai
ऐशबाघ,Aishbagh
मारो,hit
सदाहरित,evergreen
अनाक्सीय,anoxic
मुरादनगर,Muradnagar
चपरी,chapri
रंजीत,Ranjit
उद्दिन,Uddin
अभिभाषक,advocate
चैदह,fourteen
नंगल,Nangal
हलाकू,Hulagu
टोने,spells
दाख़िले,admissions
रफीक़,Rafiq
विषपान,poisoning
समचतुर्भुजीय,tetragonal
ओन्टारियो,Ontario
आर्किमिडीज़,Archimedes
उपसम्प्रदाय,sub-sect
ऊर्जाएँ,energies
भिमा,Bhima
घाल,chaos
सप्रयास,deliberate
धुरा,axis
भद्री,Bhadri
हरगड,Hargad
फूटकर,retail
सुजा,Suja
भुला,forgotten
कोटा,quota
अत्याचार,atrocity
रॉबर्टसन,Robertson
पोजिटिव,positive
लूप्स,loops
परसादी,offerings
ब्रह्मज्ञान,Brahma knowledge
गुडापुरम,Gudapuram
कमरो,rooms
सुचिंतित,thoughtful
सीएसए,CSA
वितोरिया,Vitoria
कोंडली,Kondli
पिरामिडों,pyramids
फर्क,difference
सम्मोहन,hypnosis
उपादेयता,utility
कलब,club
अखाडे,arenas
सुधि,awareness
नौका,boat
मिल्ती,found
नूरजहाँ,Nur Jahan
सजिल्द,bound
बैलो,Bailo
मेस्तिजो,Mestizo
मलक,Malak
रिनेसां,Renaissance
फ़्लैट,flat
नुस्खों,recipes
तेरेस्सा,Theresa
साहसी,brave
मुद्राराक्षस,Mudrarakshas
हृद्पात,heart attack
विदुषी,scholar
जर्मी,Germy
कार्यावधि,tenure
सांविधिक,statutory
आसक्ति,attachment
चोली,blouse
कंप्रेस्ड,compressed
ब्याल,Byal
सोपबार,soap bar
धंसी,sunken
सबकुछ,everything
स्वीट,sweet
योजना,plan
पार्सन,Parson
रास्ते,paths
समृद्धता,prosperity
शिवलोक,Shivalok
संबन्ध,relation
डीआरएस,DRS
सुपरनोवा,supernova
सीइंग,seeing
ग्लोबिजराइना,Globigerina
मनोविकार,mental disorder
फिरौती,ransom
अंधेरी,Andheri
खिंचते,stretching
सैले,Selle
मेंडेलीफ़,Mendeleev
बाल्तिस्तान,Baltistan
२४०८,2408
अनुहरण,imitation
ब्योमकेश,Byomkesh
पांच,five
पुत्रान्,sons
आगमों,scriptures
रक्तवाहिनी,artery
नैषधीय,Naishadhiya
दुरी,distance
केशवपुर,Keshavpur
क्वाजुलू,KwaZulu
७७,77
प्रिंटेड,printed
बां,Baan
मिडिल,middle
रहवासी,resident
दृष्टया,visibly
तानसेन,Tansen
वोक्स,Vox
पाचन,digestion
रूकमणी,Rukmani
नहटौर,Nahataur
फ्लेश,flash
कूलर,cooler
प्लक,pluck
टैंक्स,tanks
करनवीर,Karanvir
बढते,growing
स्वच्छन्द,free
टास्कबार,taskbar
नागेन्द्र,Nagendra
फाक्स,Fox
पत्रों,letters
वामनावतार,Vamanavatar
पुल्टा,Pluta
एल्वस,Elvis
समंदर,ocean
न्यायाधिकरण,tribunal
राजस्‍व,revenue
बख्तियार,Bakhtiyar
खांडवप्रस्थ,Khandavaprastha
ब्रूकलिन,Brooklyn
मेनका,Menaka
सौन्दर्यपूर्ण,beautiful
अविभाजित,undivided
बोआई,sowing
पंगसौ,Pangsau
उगम,origin
जैवप्रौद्योगिकी,biotechnology
स्पिरिचुअल,spiritual
रीत,tradition
परिकलित्रों,computers
बण्डल,bundle
उपहार,gift
सासरॅ,Sasara
क्रीटी,Crete
टोलेडो,Toledo
झूँसी,Jhunsi
दोदोमा,Dodoma
देशद्रोही,traitor
अत्यंतनूतन,ultramodern
पोपों,popes
समन्दर,ocean
निश्‍चय,determination
ब्लॉगिंग,blogging
भटकने,wandering
नीग्रो,Negro
रखवाया,secured
कब्जियत,constipation
मैकिन्टौश,Macintosh
अनुष्टुप,Anushtup
जन्मकुंडली,horoscope
धन्वन्तरी,Dhanvantari
सारथि,charioteer
क्वेता,Quetta
तकाकी,Takaki
अज्ञातनामा,anonymous
स्क्वीड,squid
खोज़ा,sought
क्रिएचर्स,creatures
कमरों,rooms
निद्राकर,soporific
परिणामो,results
आं,Aan
माइक्रोसेटेलाइट,microsatellite
बालि,Bali
रेफरेन्स,reference
न्यूक्लियोसाइड,nucleoside
हूआ,happened
हेडलाइन,headline
भग्नावशेषों,ruins
विएर,Weir
मेगाहर्ट्ज़,megahertz
१३९८,1398
जांबाज़,valiant
दावत,feast
बेलदौर,Beldaur
विचारात्मक,ideological
फीयर,fear
दोस्तपुर,Dostpur
सफलताओं,successes
विघ्नहर्ता,Vighnaharta
निप्पोंची,Nipponchi
बर्बरता,barbarity
कनैडियाई,Canadian
पुरातनतम,oldest
केनोपनिषद,Kenopanishad
आयुक्त,commissioner
स्टैम्प,stamp
नित्यप्रति,daily
अमिगा,Amiga
बैक्ड,baked
फकीरा,Fakira
साहित्‍य,literature
पटुवा,Patwa
प्रकार्य,function
बारेमें,about
पढ़ाई,study
बुलाओ,call
पनचक्की,watermill
सति,Sati
प्रत्यंचा,bowstring
बंजारी,Banjari
लहरियों,waves
शाबाश,bravo
घुमंतू,nomadic
क्रीचर,creature
हाइड्रोफोबिक,hydrophobic
सिमल,Simla
कनेक्टिकट,Connecticut
यातनाएं,tortures
रेडा,Reda
परिमाणक,quantum
इस्राएल,Israel
बकले,Buckle
लौकहा,Laukaha
चिन्ताएं,worries
अभिज्ञेय,recognizable
रुन्नी,Runni
अनुगूँज,resonance
कुमुद,Kumud
तुकान्त,rhyming
रामचरितम्,Ramcharitam
निभाना,fulfill
ट्वीड,Tweed
निकटतर,closer
कॉयर,coir
पुँज,mass
कारबंकल,carbuncle
किल्स,kills
पितरो,ancestors
सैनी,Saini
१३६०,1360
कोमिल्ला,Comilla
यथारूप,as-is
जाटलैण्ड,Jutland
ग्रहित,accepted
अर्नाकुलम,Ernakulam
परीक्षित,Parikshit
सुभाई,Subhai
शेखावाटी,Shekhawati
यामागाता,Yamagata
राइटर्स,writers
सिएटल,Seattle
रूपाकार,shape
२९००,2900
नौर्थ,North
कार्टाजेना,Cartagena
ऑगस्ट,August
चम्पावत,Champawat
छिलके,peels
नैफ्थलीन,napthalene
रामचकोर,Ramchakor
अफ़ग़ानों,Afghans
भटकते,wandering
कल्मष,blemish
ब्रीडिंग,breeding
पर्वतारोही,mountaineer
झींगुर,cricket
वि‍कसि‍त,developed
ट्रीटमेन्ट,treatment
लोकसभाध्यक्ष,Speaker
स्काइडाइविंग,skydiving
सुभाई,Subhai
भुरभुरी,crumbly
प्रत्यास्थ,elastic
चिपटी,flattened
आसीन,seated
इज़ार्ड,Izard
तुलिप,tulip
शुंड,trunk
ग्रान्ट,Grant
लुबी,Lubi
क्षतियों,damages
मरणोपरांत,posthumous
क्षत्री,Kshatriya
balboa,Balboa
११८,118
प्लानर,planner
डिस्कस,discus
विद्यावाचस्पति,Vidyavachaspati
पदुमलाल,Padumlala
वोल्क्स्पर्क्स्तदिओन्,Volksparkstadion
नीवं,foundation
अनुप्राणन,animation
गरमाहट,warmth
कलावाद,aestheticism
परासरणीयता,permeability
परान्तक,terminator
खानवा,Khanwa
बनतीं,forming
१५३९,1539
नादर,Nadir
बिंद,dot
अपनानी,adopted
इरासमस,Erasmus
पोतदार,Potdar
अप्सराएँ,apsaras
तीसी,flax
संवाहक,conductor
सदमा,shock
आदेशों,orders
कज़ाख़िस्तान,Kazakhstan
जेरेड,Jared
लिखित,written
लोहार,blacksmith
गंगाएँ,Gangas
जोश,enthusiasm
नदवान,Nadwan
बैटमेन,Batman
इस्का,Iska
जनसंवेदना,public sentiment
डाका,robbery
कम्पाउण्ड,compound
मनीला,Manila
कोडी,Cody
ह्रासकाल,decay
गोरक्षा,cow protection
मोहनबाड़ी,Mohanbari
चालुक्‍य,Chalukya
क्लेमेंट,Clement
रेनल्ड्स,Reynolds
पाँचवे,fifth
मेल्टडाउन,meltdown
ऐमीटर,ammeter
जखीरा,stockpile
सर्वकलाशाला,university
स्वरुप,form
आबादकार,settler
झाग,foam
संवेगात्मक,impulsive
राजकुलों,royal families
नगाँव,Nagaon
थार्नडाइक,Thorndike
शिनचैन,Shinchan
चूकता,misses
गोलन,Golan
कणिकागुल्म,granuloma
वुल्फगैंग,Wolfgang
नागा,Naga
तालाबों,ponds
अनन्यता,uniqueness
अनछुई,untouched
सवालो,questions
एलिज़ा,Eliza
संसेचित,irrigated
विजेताएं,winners
गज,yard
वैलेजो,Vallejo
स्पिटी,Spiti
मानकर,assuming
रामानन्द,Ramanand
सन्दर्भ,reference
सार्वकालिक,timeless
ज़ांस्कर,Zanskar
डोरसेट,Dorset
मर्त्य,mortal
माइ,My
सुक्कुर,Sukkur
वास्कट,waistcoat
पम्पा,Pampa
अल्ट्रासाउंड,ultrasound
इक्केस,twenty-one
मेटलैंड,Metland
विभक्‍त,divided
डेसिग्नेटर,designator
अनंग,Anang
हॉण्डा,Honda
तीक्ष्ण,sharp
ताइपेई,Taipei
बेनिटो,Benito
पाथवे,pathway
बटी,Bati
एमफिल,MPhil
बैरोनेस,Baroness
ज़ाहिद,Zahid
बरई,Barai
वमनकारी,emetic
संजीवी,reviver
श्रुत,heard
रेबिट,rabbit
फैक्टर्स,factors
योगदानकर्ता,contributor
वागड़ी,Vagdi
ब्रह्म,Brahma
अल्पताप,hypothermia
भाड़ी,Bhadi
खोइसान,Khoisan
कंधारी,Kandhari
श्लोको,shlokas
तारयुक्त,wired
गुच्छ,bunch
विलेंडर,Wilander
१२८०,1280
सिडैन,sedan
पाश्चातय,western
प्रेमिएर,premier
ओवरलैंड,overland
उनलोगों,those people
अय्याशी,debauchery
धराशायी,collapsed
इति,thus
विचारणीय,considerable
सिरदर्द,headache
आॅस्ट्रेलिया,Australia
लकोटा,Lakota
अमिटी,Amity
कांसेप्ट,concept
एनवाईसी,NYC
चारुलता,Charulata
क्रेस्टेड,crested
प्रभावित,affected
द्योतित,illuminated
विशेश,special
समृद्धिशाली,prosperous
एग्रीगेटर,aggregator
परित्याग,abandonment
वॉलपेपर,wallpaper
ककरण,formation
भारतं,Bharat
जलूस,procession
महतगांव,Mahatgaon
बुलाती,calling
२५८२,2582
असग़री,Asgari
अधोवर्ती,inferior
गुणग्राही,receptive
बालचंदर,Balachander
सेलेंगे,select
काउन्ट,count
मौत,death
सिद्धनाथ,Siddhanath
७६३,763
ग्वारपाठा,aloe
आइसिस,ISIS
इन्वर्स,inverse
जननक्षमता,fertility
टेंपल,temple
मेवरिक्स,Mavericks
क्रस,cross
स्टाइलिंग,styling
रोल्फ़,Rolf
रोड्स,Rhodes
बैरकें,barracks
क़स्बे,town
वाइड,wide
सियासत,politics
ऑइल,oil
संस्थाएं,institutions
आवश्कताओं,requirements
अमृतराय,Amritrai
कराटेका,karateka
प्रबुद्धता,enlightenment
हँ,yes
कमाल,amazing
सफाईकर्मियों,cleaners
प्रतिबिंबन,reflection
हावड़ा,Howrah
अस्फाल्ट,asphalt
करधनी,belt
९०६,906
अधिप्रमाणन,certification
जलवाही,aquifer
मुआइना,inspection
हैरानी,surprise
नाइजिरिया,Nigeria
स्थलाकृतिक,topographic
कार्यक्षमता,efficiency
रॉस,Ross
ढूँढ़कर,searching
कालेश्वर,Kaleshwar
सिमटने,shrink
ईटीएफ,ETF
बिजासन,Bijasan
नात्सीवाद,Nazism
दायी,responsible
एककोशीय,unicellular
तेमेंगोंग,Temenggong
ग्रीटिंग,greeting
गारो,Garo
टाइल,tile
रानीखेत,Ranikhet
९१,91
दृष्टियों,visions
अश्रुत,unheard
विद्वान,scholar
डोरेमी,DoReMi
ईसीटी,ECT
पनडुब्‍बीरोधी,anti-submarine
कबाबचीनी,cubeb
खुदवाये,engraved
औरंगाबाद,Aurangabad
अस्र,weapon
धकधकी,palpitation
सरे,Surrey
ख़ासकर,especially
कब्‍जे,occupation
जागृत,awakened
सम्मिलनी,convention
लिबेरो,libero
कनाडियन,Canadian
कोशिकाद्रव्य,cytoplasm
स्टीगल,Stiegl
प्रष्ठ,page
संबोधनों,addressing
सट,stick
लहरदार,wavy
वील,veil
बज,budget
तेलगु,Telugu
विएना,Vienna
ज़िबाह,slaughter
फ़ीड्स,feeds
ग्रिगोरी,Grigory
दिलों,hearts
रेडियोलॉजिकल,radiological
१३३८,1338
सताते,torment
अनुरूपण,adaptation
पलड़ा,scale
सामोन,Salmon
अँगुलियों,fingers
लेंसों,lenses
मुक्ति,liberation
समूदाय,community
कन्‍याकुमारी,Kanyakumari
पहुचते,reaching
कीज़लगर,Kieslager
खायें,eat
नाज,pride
खारा,salty
स्वानन्द,Swanand
फिन्स,Finns
मानसिकता,mentality
नीड्स,needs
चक्रव्यूह,labyrinth
गैबरियल,Gabriel
यादाश्त,memory
नाथी,Nathi
ओर्थोगोनल,orthogonal
बाकायदा,properly
महामण्डलेश्वर,Mahamandaleshwar
बेचे,sold
काजीपेट,Kazipet
छुपाता,hides
भुरभुरा,crumbly
वैचित्र्य,variety
हेसिंडा,hacienda
आंत्रनाल,intestine
दस,ten
परऑक्साइड,peroxide
बर्कर्ट,Burkert
पीडि़त,victim
कृष्‍णामूर्ति,Krishnamurti
माँगकर,borrowing
अंगरक्षकों,guards
उपन्यास,novel
प्रकृतिवर्णन,nature
१३३०,1330
ओज़,oz
थायोयूरिया,thiourea
मुबई,Mumbai
वेलर,Weller
आक्रामक,aggressive
जेकेएफ,JKF
पद्मभूषण,PadmaBhushan
एलबर्ट,Albert
आर्यभाषाओं,Aryan
विसजर्न,dissolution
सूत्रग्रन्थों,scriptures
थाइलेसिन,thylacine
पीआरए,PRA
सैना,army
२६७६,2676
मोड़ें,turn
३५००,3500
महंगे,expensive
जामल,Jamal
भोजनों,meals
पिटे,beaten
जोगलेकर,Joglekar
नम्बूदिरी,Namboodiri
पद्धति,method
ब्लैकवुड,Blackwood
जाही,Jaahi
कुतुबद्दीन,Qutbuddin
ब्लूमरी,Bloomery
जगण,Jagan
हर्षा,Harsha
गहलौर,Gahlaur
रेशमकीट,silkworm
अष्टमुडी,Ashtamudi
डिबिया,box
देवगिरी,Devagiri
नक्काश,engraver
हाफिज,Hafiz
गुणो,qualities
अनुशासनपर्व,discipline
नवेले,newcomers
सोनगाँव,Songaon
ह्रौं,hraan
श्वसुर,father-in-law
मंडलियां,circles
धारामान,standard
थिसारा,Thisara
कामिल,Kamil
अष्टांग,Ashtanga
सिंघिया,Singhia
व़िलियम,William
औकारांत,vocalic
कविप्रसिद्धि,poet-fame
जुड़ीं,connected
जलविघटन,hydrolysis
फॉरेंसिक,forensic
अस्वीकार्य,unacceptable
दानशीलता,charity
हलंत,halant
तेलेत्स्कोये,Teletskoye
सन्या,Sanya
मिटाया,erased
कासरगोड,Kasaragod
अंजाम,consequence
डबल्यूसीएफ,WCF
ओक्सिजन,oxygen
गर्रा,Garra
अमलीढोढा,Amalidodha
कुतर्कों,fallacies
लेओनार्डो,Leonardo
कांस्टेबल,constable
राक्षसराज,king-demon
संयन्त्र,device
कविरत्न,poet-gem
गहरायी,depth
संगीतमयी,musical
विराटकायता,gigantism
छन्ने,sieve
पूर्ववती,previous
हेमेन्द्र,Hemendra
वाकिये,incidents
मानवाकृति,human-form
ग्रामस्वराज्य,village-self-rule
पेत्रा,Petra
अनुयायिओं,followers
एथिलीन,ethylene
खेजङी,Khejri
नाही,no
मछुवारों,fishermen
डिस्टल,distal
बुंदेलखण्ड,Bundelkhand
ढील,looseness
करनजय,Karanjay
रेग्मी,Regmi
देमेनतीवा,Dementieva
कैथोगी,Kaithogi
स्फ़ोर्ज़ेस्को,Sforzesco
गिबन्स,Gibbons
ब्रूकिंग्स,Brookings
काराग़ान्दी,Karagandy
रायफलमैन,rifleman
हिपहॉप,hip-hop
फ़ोर्थ,fourth
विद्धि,method
जीविता,life
सोबर्स,Sobers
समस्थानिक,isotope
वादानुवाद,debate
केशिकास्तवक,capillary-bundle
कृष्णदास,Krishnadas
पार्श्ववर्ती,lateral
चराने,grazing
इन्टेलिजेन्स,intelligence
पैट्रिशिया,Patricia
कोयंबटूर,Coimbatore
क़शक़ाई,Qashqai
प्रकाशनाधिकार,copyright
श्लेष्मक,mucous
हिअर,hear
एटली,Attlee
ट्रांस्फ़र,transfer
विलासम,Vilasam
भांडार,storehouse
देवन,Devan
लार्नड,learned
उपेक्षित,neglected
निजामत,Nizamat
शस्त्रास्त्रों,weapons
सुव्यक्त,expressed
फंसा,trapped
रैगर,Raigar
चेदिराज,Chediraj
गिरकर,falling
रिसाल,Risal
तिरूचिरापल्ली,Tiruchirappalli
ग्रहम,Graham
स्म,Sm
दायगो,Diago
लदी,loaded
मोलनिया,Molniya
पाठशालाएँ,schools
बोलिवार्ड,Boulevard
२५,25
बोसवेल,Boswell
स्फटिक,crystal
आरम्भ,beginning
वासवदत्ता,Vasavadatta
दूरी,distance
समीति,committee
हेमरेज,hemorrhage
मध्यस्थ,mediator
विधुत,electricity
गनी,Gani
तात्त्विक,philosophical
एकनाथ,Eknath
नाकाडा,Nakada
मुअन,Muan
सिन्त्रा,Sintra
फरगाना,Fergana
९०५,905
ईंधनों,fuels
मूहूर्त,auspicious
एच,H
आरसीबी,RCB
घुमाएं,rotate
प्राकट्य,manifestation
सेरापियम,Serapeum
लामार्क,Lamarck
ग्रीष्मसमय,summertime
ऊष्ण,hot
चौथा,fourth
विभावना,potential
कराधान,taxation
आयोडीन,iodine
डेडपूल,Deadpool
टीपीजी,TPG
लिलेहेई,Lillehei
योगानंद,Yogananda
वैस्टरबाटन,Västerbotten
रामपति,Rampati
तीखुर,Tikhur
टॉरस,Taurus
ट्रांजैक्शन,transaction
दण्डाणु,bacteriophage
खैरात,charity
ग्लोव,glove
दिखती,appears
रावड़ी,Rabri
सेराचक,Serachak
साम्प्रदाय,sectarian
रोगोत्पत्ति,pathogenesis
रेलमंत्री,RailwayMinister
तरी,method
विवर्तवाद,Vivartavada
महाबीर,Mahavir
१९९५,1995
फतेहगढ़,Fatehgarh
गुणधर्मो,properties
वितान्यता,extensibility
मोरादोगडा,Moradogada
आम्बोन,Ambon
एयरपोर्ट,airport
उतपादन,production
कूष्माण्डा,Kushmanda
नन्दनी,Nandini
पूर्वपुरुषों,ancestors
प्रेम्ना,Premna
अपरिवर्तनीय,immutable
स्थलचर,terrestrial
बांटना,distribute
कौसर,Kausar
तावीज़,amulet
अप्रकट,unmanifest
रेजिमेण्ट,regiment
जरा,aging
केर,Care
बदलने,changing
कोवनन्टस,Covenants
परागकण,pollen
१७३६,1736
पार्कसाइड,Parkside
लोककाव्य,folkpoetry
डीकंस्ट्रक्शन,deconstruction
जीनस,genus
ह्रासमान,depleting
उनतालीस,thirty-nine
बदले,instead
६,6
वामन,Vamana
संवर्धक,enhancer
जलमहल,Jalmahal
पीआईडी,PID
दक्षिणपंथी,right-wing
ट्रोपोकोलेजन,Tropocollagen
झखराहा,Jhakharaha
पब्लिअस,Publius
उच्चावचन,pronunciation
मुद्रायें,currencies
चतुरंगिणी,Chaturangini
ख़िलजी,Khilji
नृत्यों,dances
२३२८,2328
दर्द,pain
सांश्लेषिक,synthetic
तत्त्वावधान,Tattwavadhan
डींग,boast
भ्रूणीय,embryonic
गुजरने,passing
आन्य,Aanya
रूपांतरित,transformed
बाते,conversations
पाठ्यआंतर्गत,syllabus
चुडैलें,witches
झूमने,swaying
बपौती,inheritance
युगलबंदी,duet
अन्तर्दृष्टि,insight
डीऑक्सीराइबोन्यूक्लिक,Deoxyribonucleic
नैनोट्यूब,nanotube
सहायताओं,aids
रोपवे,ropeway
स्काइ,Sky
बूटी,herb
किशोर,adolescent
क्वालीफाइंग,qualifying
पेनाल्टी,penalty
अल्टीमेट,ultimate
दुर्दी,Durdi
परिकलक,calculator
हिंगलाज,Hinglaj
दरिद्रों,poor
लोबार,Lobar
सूक्ष्मतरंगी,microwave
नवाबशाह,Nawabshah
आद्यमुखी,Aadyamukhi
रैडक्लिफ,Radcliffe
रिमोट,remote
स्ट्रेटीग्राफी,stratigraphy
थमने,stopping
जैतूनी,olive
चढ़ी,climbed
ताऊपो,Taupo
कोशिकाविज्ञान,cytology
रुड़की,Roorkee
किलिनोच्ची,Kilinochchi
बंटता,distributed
इटिंग,Eating
धूणी,Dhuni
व्यत्यय,interference
व्हेलों,whales
विराजित,enthroned
वूलन,woolen
नाड़ियों,nerves
लल्ला,Lalla
शैलखंड,rock
एयरलाइनरों,airliners
निकोलाउ,Nikolau
उत्तरजीवन,afterlife
आत्मग्लानि,remorse
बब्बनलाल,Babbanlal
कार्यान्यवन,implementation
सिरध्वज,Sirdhwaj
पब्लीकेशन,publication
प्रमेय,theorem
व्हीलबेस,wheelbase
नागकन्या,Nagkanya
ठंडी,cold
होल्म,Holm
क्वार्टज़,quartz
सक्ती,Sakti
भला,good
संभारतंत्र,nervoussystem
टूट,broken
जाजू,Jaju
सूर्यवर्मन,Suryavarman
साहेबपुर,Sahebpur
आयास,Aayas
नागालैण्ड,Nagaland
बढ़ाएगी,increase
हार्डकोर,hardcore
कालौ,Kalau
गुणाढ्य,Gunadhya
कुना,Kuna
परक्राम्य,negotiable
पर्वतनिर्माण,mountainformation
पकाता,cooking
सर्रा,Sarra
अनुप्रास,alliteration
वायाकॉम,Viacom
वुमेन्स,womens
लघुपथ,shortpath
गुमानी,Gumani
ब्रोका,Broca
भूगोल,geography
एंडोजेनस,endogenous
गठान,knot
रिको,Rico
बोरिवली,Borivali
फुलीय,Fuliya
संयोजन,composition
हेस्से,Hesse
गेलोर,Gelor
विर्दी,Virdi
बदौलत,becauseof
अनुवादों,translations
शाश्वतता,eternity
पोती,granddaughter
plague,plague
चकराता,Chakrata
गान्धर्व,Gandharva
earthquakes,earthquakes
ओसबौर्ने,Osborne
widget,widget
बुख़ारों,fevers
कार्यमुक्त,retired
commanders,commanders
खोदे,dug
पाक़ीज़ा,Pakeezah
मिशनरियों,missionaries
वृक्ष,tree
शुमाल,North
सीआईए,CIA
प्लुनकेट,Plunkett
बर्तुलाकार,circular
हरिकिशन,Harikishan
प्रति‍शत,percentage
कारिका,Karika
नाइटमेयर,nightmare
रुक्मिनी,Rukmini
निकलसन,Nicholson
इन्सानियत,humanity
फ्रेडरिच,Friedrich
बेकल,Bekal
अर्थशास्त्र,economics
भानुप्रिया,Bhanupriya
अनुष्ठान,ritual
हरिपाल,Haripal
स्क्रिन,screen
सेबस्टियन,Sebastian
ओड़व,Odav
१८७,187
अमृतराज,Amritraj
कोयम्बटूर,Coimbatore
एथेनियाई,Athenian
अलसी,flax
प्रतिक्रियात्मक,reactive
क्रोम,chrome
संगमरमरी,marble
विचारणा,concept
जौहरी,jeweler
श्रीकुमार,Shrikumar
आपनो,yours
ज़हले,Zahle
रेटिंग,rating
अलगाववाद,separatism
कोडगु,Kodagu
निर्दलीय,independent
चनौदा,Chanoda
मकरध्वज,Makardhwaj
सर्जनात्मकता,creativity
आहर,intake
कोशर,kosher
उषाकाल,dawn
बहुकोणीय,polygonal
अण्डाकार,oval
पूर्ववर्तिता,precedence
माइकेलसन,Michelson
पिज़्ज़ा,pizza
एक्ट्रेस,actress
वाष्पित्र,evaporator
मुगलसराय,Mughalsarai
खरोच,scratch
विन्सेंट,Vincent
सुलझाते,solving
बिलियम,Billiam
स्काईलाइन,skyline
शिवदेसानी,Shivdesani
बिष्णु,Vishnu
पूर्बी,eastern
फेसबूक,Facebook
कुआनो,Kuano
२६२१,2621
अदबी,literary
उतरा,descended
नीरसता,monotony
मावलों,Mavals
अवसर्पिणी,descending
मँजी,polished
हाईड्रॉक्साइड,hydroxide
शुल्ट्ज़,Schulz
मालाणी,Malani
दशार्ण,Dasharna
सूर्यकलंक,sunspot
बेसुरी,tuneless
मुख्यधारा,mainstream
इतमानिया,Itmaniya
तृतीय,third
१११७,1117
अंतर्कपालीय,interlaminar
खरीदो,buy
गीगी,Gigi
वेषधारी,disguised
शैवालों,algae
नाटकीय,dramatic
होक्ज़ा,Hokza
तंत्राश,systemic
मृत्यूपरांत,posthumous
प्रतिधारित,retained
आत्मीयता,intimacy
उन्नी,Unni
अलेक्षन्देर,Alexander
चित्रांकन,illustration
जबड़े,jaws
ईएमयू,EMU
कुह्न,Kuhn
चिडी,Chidi
जातीय,ethnic
बँटा,divided
मोगादीशू,Mogadishu
मणीन्द्र,Manindra
अनुसूचक,index
तल्लागाँव,Tallagaon
रामानुजाचार्य,Ramanujacharya
चैत,Chait
गोन्ना,Gonna
फ़ातिहा,Fatiha
मॉड्यूलेट,modulate
सैलाब,flood
उफ,ugh
संबधों,relations
चक्र,wheel
१७२९,1729
मनोहर,Manohar
टैंटेलम,tantalum
ज़ुबिन,Zubin
चढने,climbing
दोहरावपूर्ण,repetitive
गिरीशचंद्र,Girishchandra
विवर्तन,diffraction
डिग्रीयां,degrees
ग़ोरियों,Ghoris
सेनेट,senate
भार्या,wife
इनर्जी,energy
नीता,Neeta
भौजी,Bhauji
बीरू,Biru
भड़का,ignited
शक्तिपीठों,Shaktipeeths
कमिंस,Cummins
पूछना,ask
चमकौर,Chamkaur
मशरक़ी,Mashraqi
स्था‍पित,established
निमकी,Nimki
क्षमायाचना,apology
सुखीराम,Sukhiram
तीक,Tik
सजाए,decorated
धर्मियों,religious
चावल,rice
मेट्रा,Metra
आशु,Ashu
असार,Asar
त्यों,therefore
पचासवां,fiftieth
मतों,votes
बीथोवेन,Beethoven
दीप्ती,Diapti
शख्स,person
अनुवाद,translation
मन्तव्य,opinion
इंपायर,empire
छाता,umbrella
समस्याग्रस्त,troubled
चलती,moving
बंडोल,Bandol
स्टेनलेस,stainless
